Rank,Player,Pos,Tier,Diff,YDS,YPC,RUSH,REC,TD,YPR,REC/TAR Game,Team,Bye,ESPN,Rank-ADP,Link,WR_Rank
345,Mack Hollins,WR,17,93.0,251.0,0.0,,18.0,,13.9,1.4/2.3,BUF,12,438.0,-93.0,https://www.4for4.com/player/mack-hollins,133
347,KaVontae Turpin,WR,17,-13.0,237.0,10.0,11.0,12.0,4.0,10.6,0.8/1.1,DAL,7,355.0,-8.0,https://www.4for4.com/player/kavontae-turpin,134
353,Cedrick Wilson Jr.,WR,17,138.0,296.0,0.0,,22.0,3.0,13.5,1.5/2.5,NO,12,,,https://www.4for4.com/player/cedrick-wilson-jr.,135
356,Jake Bobo,WR,17,-71.5,199.0,3.0,1.0,19.0,3.0,10.3,1.1/1.5,SEA,10,261.0,95.0,https://www.4for4.com/player/jake-bobo,136
357,Braxton Berrios,WR,17,-83.5,249.0,11.0,1.0,27.0,1.0,8.8,1.7/2.1,MIA,6,216.0,141.0,https://www.4for4.com/player/braxton-berrios,137
359,Robert Woods,WR,17,24.0,433.0,7.0,1.0,40.0,1.0,10.6,2.9/5.4,HOU,14,364.0,-5.0,https://www.4for4.com/player/robert-woods,138
360,Trenton Irwin,WR,17,29.5,316.0,0.0,,25.0,1.0,12.6,1.6/2.0,CIN,12,365.0,-5.0,https://www.4for4.com/player/trenton-irwin,139
362,Parker Washington,WR,17,95.0,132.0,0.0,,16.0,2.0,8.2,1.8/2.3,JAC,12,492.0,-130.0,https://www.4for4.com/player/parker-washington,140
364,Ryan Flournoy,WR,18,209.5,,,,,,,,DAL,7,370.0,-6.0,https://www.4for4.com/player/ryan-flournoy,141
365,Skyy Moore,WR,18,-83.5,267.0,7.7,3.0,21.0,1.0,11.6,1.5/2.7,KC,6,252.0,113.0,https://www.4for4.com/player/skyy-moore,142
366,Xavier Hutchinson,WR,18,208.0,139.0,9.8,5.0,8.0,,11.2,0.5/1.2,HOU,14,409.0,-43.0,https://www.4for4.com/player/xavier-hutchinson,143
379,Jamari Thrash,WR,19,121.0,,,,,,,,CLE,10,443.0,-64.0,https://www.4for4.com/player/jamari-thrash,144
382,Allen Lazard,WR,19,-77.0,311.0,0.0,,23.0,1.0,13.5,1.6/3.5,NYJ,12,317.0,65.0,https://www.4for4.com/player/allen-lazard,145
383,Casey Washington,WR,19,511.0,,,,,,,,ATL,12,,,https://www.4for4.com/player/casey-washington,146
386,Tyler Scott,WR,19,-36.5,209.0,5.9,7.0,17.0,,9.9,1.0/1.9,CHI,7,305.0,81.0,https://www.4for4.com/player/tyler-scott,147
391,JuJu Smith-Schuster,WR,19,-138.5,260.0,0.0,,29.0,1.0,9.0,2.6/4.3,KC,6,225.0,166.0,https://www.4for4.com/player/juju-smith-schuster,148
392,Brandon Powell,WR,19,-15.5,341.0,3.4,5.0,29.0,1.0,11.2,1.7/2.6,MIN,6,343.0,49.0,https://www.4for4.com/player/brandon-powell,149
395,Mecole Hardman Jr.,WR,19,-84.0,127.0,3.0,1.0,15.0,,8.3,1.4/2.2,KC,6,271.0,124.0,https://www.4for4.com/player/mecole-hardman-jr.,150
405,Kayshon Boutte,WR,20,190.0,19.0,0.0,,2.0,,9.5,0.4/1.4,NE,14,451.0,-46.0,https://www.4for4.com/player/kayshon-boutte,151
412,Ainias Smith,WR,20,-63.0,,,,,,,,PHI,5,322.0,90.0,https://www.4for4.com/player/ainias-smith,152
418,Ihmir Smith-Marsette,WR,21,252.0,125.0,9.2,8.0,8.0,2.0,6.4,0.5/0.6,,,,,https://www.4for4.com/player/ihmir-smith-marsette,153
419,Parris Campbell,WR,21,1.0,104.0,0.0,,20.0,,5.2,1.7/2.3,PHI,5,437.0,-18.0,https://www.4for4.com/player/parris-campbell,154
422,Malik Heath,WR,21,3.5,125.0,0.0,,15.0,1.0,8.3,1.2/1.8,GB,10,394.0,28.0,https://www.4for4.com/player/malik-heath,155
424,David Bell,WR,21,26.0,167.0,0.0,,14.0,3.0,11.9,0.9/1.5,CLE,10,,,https://www.4for4.com/player/david-bell,156
425,Miles Boykin,WR,21,181.0,17.0,0.0,,3.0,,5.7,0.2/0.2,NYG,11,,,https://www.4for4.com/player/miles-boykin,157
426,River Cracraft,WR,21,71.0,121.0,0.0,,9.0,1.0,13.4,0.9/1.2,MIA,6,415.0,11.0,https://www.4for4.com/player/river-cracraft,158
431,Isaiah Williams,WR,21,125.0,,,,,,,,DET,5,423.0,8.0,https://www.4for4.com/player/isaiah-williams,159
432,Devin DuVernay,WR,21,58.0,33.0,3.8,4.0,4.0,,4.5,0.3/0.7,JAC,12,485.0,-53.0,https://www.4for4.com/player/devin-duvernay,160
433,Simi Fehoko,WR,21,405.0,9.0,0.0,,1.0,1.0,9.0,0.2/0.3,LAC,5,,,https://www.4for4.com/player/simi-fehoko,161
