Rank,Player,Pos,Tier,YDS,YPC,Rush,REC,TD,YPR,Rec/Tar Game,Points,Team,Bye,ESPN,Rank-ADP,Link,WR_Rank
300,John Metchie III,WR,14,42.0,0.0,,4.0,,10.7,3.9/0.0,0.0,PHI,9,295.0,5.0,https://www.4for4.com/player/john-metchie-iii,115
303,Jacob Cowing,WR,14,132.0,0.0,,10.0,,12.9,0.6/1.0,18.3,SF,14,,,https://www.4for4.com/player/jacob-cowing,116
306,Curtis Samuel,WR,14,170.0,4.0,5.0,16.0,1.0,9.5,0.9/1.4,30.9,BUF,7,481.0,-175.0,https://www.4for4.com/player/curtis-samuel,117
318,Luke McCaffrey,WR,14,215.0,0.0,,22.0,1.0,9.7,1.3/2.1,38.6,WAS,12,254.0,64.0,https://www.4for4.com/player/luke-mccaffrey,118
320,Van Jefferson,WR,14,19.0,0.0,,2.0,,11.9,1.6/0.0,0.0,TEN,10,,,https://www.4for4.com/player/van-jefferson,119
322,Savion Williams,WR,14,237.0,3.0,3.0,22.0,2.0,10.4,1.3/2.1,46.5,GB,5,437.0,-115.0,https://www.4for4.com/player/savion-williams,120
324,Jalen McMillan,WR,14,328.0,5.0,3.0,24.0,2.0,12.8,2.7/4.2,56.9,TB,9,,,https://www.4for4.com/player/jalen-mcmillan,121
326,Demarcus Robinson,WR,14,429.0,0.0,,29.0,3.0,14.8,1.7/2.9,75.4,SF,14,442.0,-116.0,https://www.4for4.com/player/demarcus-robinson,122
328,Kalif Raymond,WR,14,235.0,4.0,3.0,17.0,1.0,13.0,1.0/1.5,38.0,DET,8,323.0,5.0,https://www.4for4.com/player/kalif-raymond,123
329,Christian Watson,WR,14,212.0,0.0,,12.0,1.0,18.0,2.9/5.3,33.0,GB,5,,,https://www.4for4.com/player/christian-watson,124
331,Marquez Valdes-Scantling,WR,14,403.0,0.0,,23.0,2.0,17.6,1.3/2.6,63.8,SF,14,425.0,-94.0,https://www.4for4.com/player/marquez-valdes-scantling,125
332,Xavier Restrepo,WR,14,176.0,3.0,2.0,13.0,1.0,13.0,0.8/1.4,30.2,TEN,10,476.0,-144.0,https://www.4for4.com/player/xavier-restrepo,126
333,Tai Felton,WR,14,194.0,0.0,,18.0,1.0,10.5,1.1/1.9,34.6,MIN,6,,,https://www.4for4.com/player/tai-felton,127
336,Mack Hollins,WR,14,187.0,0.0,,16.0,1.0,11.6,0.9/1.5,32.8,NE,14,338.0,-2.0,https://www.4for4.com/player/mack-hollins,128
337,Diontae Johnson,WR,14,357.0,0.0,,29.0,2.0,12.4,1.7/3.0,62.2,,,,,https://www.4for4.com/player/diontae-johnson,129
338,Jermaine Burton,WR,14,166.0,0.0,,13.0,1.0,13.0,0.8/1.5,29.0,CIN,10,436.0,-98.0,https://www.4for4.com/player/jermaine-burton,130
339,Tez Johnson,WR,14,695.0,4.0,5.0,63.0,5.0,10.7,3.7/5.9,0.0,TB,9,282.0,57.0,https://www.4for4.com/player/tez-johnson,131
344,Allen Lazard,WR,14,333.0,0.0,,25.0,3.0,13.5,1.4/2.4,63.6,NYJ,9,,,https://www.4for4.com/player/allen-lazard,132
349,Arian Smith,WR,14,92.0,0.0,,7.0,,12.5,0.4/0.7,12.8,NYJ,9,454.0,-105.0,https://www.4for4.com/player/arian-smith,133
350,Isaiah Bond,WR,14,351.0,3.0,3.0,26.0,2.0,13.2,1.5/2.5,60.0,CLE,9,298.0,52.0,https://www.4for4.com/player/isaiah-bond,134
353,Khadarel Hodge,WR,14,185.0,0.0,,17.0,1.0,11.1,1.0/1.5,32.8,ATL,5,,,https://www.4for4.com/player/khadarel-hodge,135
355,JuJu Smith-Schuster,WR,14,189.0,0.0,,18.0,1.0,10.5,1.1/1.6,33.9,KC,10,256.0,99.0,https://www.4for4.com/player/juju-smith-schuster,136
358,Malachi Corley,WR,14,208.0,5.0,5.0,19.0,1.0,9.5,1.1/1.9,36.4,CLE,9,,,https://www.4for4.com/player/malachi-corley,137
367,Nick Nash,WR,14,167.0,0.0,,15.0,1.0,10.9,0.9/1.4,30.4,ATL,5,,,https://www.4for4.com/player/nick-nash,138
372,Gabe Davis,WR,14,402.0,0.0,,32.0,3.0,12.4,1.9/3.5,74.5,,,,,https://www.4for4.com/player/gabe-davis,139
384,Devontez Walker,WR,14,118.0,0.0,,11.0,1.0,10.5,0.7/1.2,23.4,BAL,7,362.0,22.0,https://www.4for4.com/player/devontez-walker,140
387,Jalin Hyatt,WR,14,121.0,0.0,,11.0,,11.0,0.6/1.1,17.6,NYG,14,313.0,74.0,https://www.4for4.com/player/jalin-hyatt,141
393,Ricky White III,WR,14,338.0,0.0,,31.0,2.0,10.9,1.8/2.9,0.0,SEA,8,,,https://www.4for4.com/player/ricky-white-iii,142
394,Kendrick Bourne,WR,14,129.0,4.0,2.0,11.0,1.0,11.1,0.6/1.0,24.3,,,,,https://www.4for4.com/player/kendrick-bourne,143
398,Tyler Boyd,WR,14,358.0,0.0,,36.0,2.0,9.9,2.1/3.2,65.9,,,,,https://www.4for4.com/player/tyler-boyd,144
