Rank,ADP,Name,POS,AB,Z_R,Z_HR,Z_RBI,Z_SB,Z_BB,Z_AVG,Z_SLG,IP,Z_K,Z_QS,Z_W,Z_SV,Z_HLD,Z_ERA,Z_WHIP,$
283,255.3,Francisco Alvarez,C,326.0,0.076,0.566,0.256,-0.638,0.063,-0.246,0.916,,,,,,,,,1.22
284,164.6,Drew Rasmussen,SP,,,,,,,,,146.0,0.116,0.325,-0.169,0.0,0.0,-0.126,-0.181,1.18
285,259.8,Lars Nootbaar,OF,354.0,0.289,-0.052,-0.07,-0.172,0.791,0.055,0.019,,,,,,,,,1.06
286,259.8,Jameson Taillon,SP,,,,,,,,,159.5,-0.204,0.207,0.719,0.0,0.0,0.258,-0.029,1.01
287,259.6,Colton Cowser,OF,367.0,0.214,0.349,0.23,0.358,0.333,-0.846,0.172,,,,,,,,,1.0
288,227.4,Edward Cabrera,SP,,,,,,,,,140.3,0.372,0.088,0.024,0.0,0.0,-0.047,0.046,0.99
289,259.9,Paul Blackburn,RP,,,,,,,,,74.0,0.397,0.0,1.441,-0.67,-0.451,0.156,0.083,0.98
290,259.9,Jordan Walker,OF,434.0,0.214,0.122,0.307,0.232,0.181,-0.145,-0.178,,,,,,,,,0.9
291,251.3,Tyler Rogers,RP,,,,,,,,,58.3,-0.755,0.0,0.152,-0.67,1.973,0.131,0.137,0.88
292,252.0,Dylan Crews,OF,349.0,-0.077,-0.019,0.011,1.216,-0.221,-0.196,-0.047,,,,,,,,,0.82
293,258.9,Anthony Volpe,SS,383.0,0.179,0.046,0.186,1.077,0.011,-0.746,-0.112,,,,,,,,,0.79
294,259.9,Joey Ortiz,SS,427.0,0.299,-0.323,0.142,0.636,0.159,0.255,-0.571,,,,,,,,,0.73
295,200.5,Kenley Jansen,RP,,,,,,,,,56.7,0.131,0.0,0.035,1.257,-1.178,0.156,-0.241,0.67
296,253.0,Seth Lugo,SP,,,,,,,,,157.7,0.04,0.302,0.333,0.0,0.0,0.258,0.122,0.6
297,258.1,J.P. Crawford,SS,455.0,0.537,-0.258,0.182,-0.298,1.358,-0.246,-0.79,,,,,,,,,0.6
298,256.4,Ryne Nelson,SP,,,,,,,,,154.8,-0.161,0.231,0.41,0.0,0.0,0.153,0.046,0.57
299,215.3,Carlos Rodon,SP,,,,,,,,,130.9,0.188,-0.125,0.062,0.0,0.0,0.006,-0.156,0.56
300,257.5,Jake Cronenworth,2B,456.0,0.48,-0.03,0.373,-0.31,0.979,-0.496,-0.55,,,,,,,,,0.55
301,259.6,Cedric Mullins,OF,412.0,0.157,0.046,0.102,1.43,0.368,-0.996,-0.659,,,,,,,,,0.55
302,254.8,Clay Holmes,SP,,,,,,,,,148.9,-0.209,0.278,0.41,0.0,0.0,-0.084,0.299,0.54
303,255.9,Shane Smith,SP,,,,,,,,,160.2,0.278,0.349,-0.053,0.0,0.0,0.163,0.173,0.49
304,260.0,Aaron Bummer,RP,,,,,,,,,64.8,0.491,0.0,0.855,-0.67,-0.451,-0.184,0.191,0.45
305,258.6,Brett Baty,2B/3B,350.0,0.019,0.154,0.164,-0.361,-0.011,0.055,0.281,,,,,,,,,0.37
306,217.3,Kris Bubic,SP,,,,,,,,,139.9,-0.057,0.207,0.024,0.0,0.0,-0.063,0.072,0.34
307,259.1,Ryan Weathers,SP,,,,,,,,,137.3,-0.027,0.041,0.14,0.0,0.0,-0.016,0.021,0.3
308,245.7,J.T. Realmuto,C,420.0,0.196,0.067,0.329,-0.172,-0.125,0.055,-0.112,,,,,,,,,0.29
309,259.4,Sean Manaea,SP,,,,,,,,,134.7,0.035,-0.077,0.101,0.0,0.0,-0.021,-0.055,0.28
310,257.0,Spencer Steer,1B,327.0,-0.077,-0.008,0.047,-0.083,0.198,-0.296,0.369,,,,,,,,,0.18
311,259.7,Andrew Benintendi,OF,375.0,0.1,-0.019,0.077,-0.563,0.137,0.355,-0.025,,,,,,,,,0.08
312,253.5,Jack Leiter,SP,,,,,,,,,151.8,0.307,0.088,0.101,0.0,0.0,0.253,0.223,0.04
313,235.2,Samuel Basallo,C,301.0,-0.042,0.219,0.036,-0.626,-0.225,-0.246,0.785,,,,,,,,,-0.12
314,260.0,Victor Scott II,OF,424.0,0.168,-0.561,-0.128,2.818,0.229,-0.996,-1.687,,,,,,,,,-0.19
315,259.7,Harrison Bader,OF,401.0,0.04,-0.117,0.051,0.648,-0.207,0.055,-0.637,,,,,,,,,-0.21
316,260.0,Brayan Rocchio,2B/SS,385.0,0.157,-0.355,0.011,0.522,0.159,-0.196,-0.484,,,,,,,,,-0.23
317,260.0,Lane Thomas,OF,328.0,-0.113,-0.139,-0.092,0.749,-0.129,-0.346,-0.178,,,,,,,,,-0.3
318,259.5,Mike Yastrzemski,OF,350.0,0.093,0.154,0.128,-0.361,0.46,-0.746,0.019,,,,,,,,,-0.31
319,259.8,Jared Triolo,1B/SS/ 3B,402.0,0.118,-0.453,-0.051,0.56,0.726,-0.145,-1.031,,,,,,,,,-0.34
320,120.5,Jacob Misiorowski,SP,,,,,,,,,140.3,0.423,-0.006,-0.208,0.0,0.0,0.074,0.299,-0.34
321,242.2,Jason Adam,RP,,,,,,,,,46.2,-0.282,0.0,-0.433,-0.67,1.003,-0.052,-0.106,-0.46
322,186.9,Trevor Rogers,SP,,,,,,,,,143.0,-0.29,0.112,0.101,0.0,0.0,0.063,0.122,-0.54
323,247.5,Austin Wells,C,335.0,0.086,0.284,0.146,-0.411,-0.059,-0.846,0.325,,,,,,,,,-0.58
324,259.7,Ke’Bryan Hayes,3B,386.0,0.079,-0.431,-0.015,0.257,-0.164,0.305,-0.55,,,,,,,,,-0.64
325,259.7,Rhys Hoskins,1B,352.0,0.026,0.327,0.153,-0.563,0.438,-1.047,0.085,,,,,,,,,-0.71
326,259.5,Jordan Lawlar,3B,348.0,-0.027,-0.431,-0.143,0.661,0.076,-0.095,-0.615,,,,,,,,,-0.71
327,128.3,Chase Burns,SP,,,,,,,,,122.2,0.045,-0.101,-0.555,0.0,0.0,-0.152,-0.105,-0.72
328,252.9,Bryce Miller,SP,,,,,,,,,139.3,-0.172,-0.172,0.178,0.0,0.0,0.163,0.021,-0.72
329,258.8,Logan O’Hoppe,C,382.0,0.054,0.544,0.267,-0.55,-0.173,-0.796,0.019,,,,,,,,,-0.78
330,259.3,Bo Naylor,C,349.0,0.04,0.262,0.106,-0.361,0.403,-1.247,0.085,,,,,,,,,-0.87
331,259.9,Luis Rengifo,2B/3B,345.0,-0.166,-0.344,-0.157,0.409,-0.356,0.355,-0.462,,,,,,,,,-0.89
332,240.4,Merrill Kelly,SP,,,,,,,,,132.6,-0.303,-0.125,0.024,0.0,0.0,0.016,0.021,-0.9
333,259.9,Matthew Liberatore,SP,,,,,,,,,151.8,-0.209,0.136,-0.053,0.0,0.0,0.179,0.173,-0.98
334,257.7,Tommy Edman,2B/OF,309.0,-0.095,-0.323,-0.114,-0.146,-0.465,0.305,0.041,,,,,,,,,-0.98
335,260.0,Ian Hamilton,RP,,,,,,,,,56.7,0.141,0.0,0.152,-0.67,0.155,0.07,0.272,-1.15
336,260.0,Miguel Andujar,3B/OF,263.0,-0.464,-0.54,-0.358,-0.689,-0.709,1.506,0.281,,,,,,,,,-1.2
337,259.9,Masataka Yoshida,DH,210.0,-0.62,-0.648,-0.578,-0.638,-0.757,1.707,0.522,,,,,,,,,-1.24
338,258.4,Grayson Rodriguez,SP,,,,,,,,,126.4,-0.029,-0.125,-0.594,0.0,0.0,-0.063,-0.055,-1.29
339,258.2,Justin Verlander,SP,,,,,,,,,145.8,-0.271,-0.006,-0.092,0.0,0.0,0.19,0.072,-1.29
340,260.0,Luis Garcia,RP,,,,,,,,,56.7,-0.204,0.0,0.152,-0.67,0.276,-0.006,0.218,-1.34
341,255.5,Carter Jensen,C,271.0,-0.265,-0.29,-0.285,-0.512,-0.077,0.105,0.194,,,,,,,,,-1.39
342,259.9,Matt Shaw,3B,253.0,-0.372,-0.409,-0.399,0.434,-0.247,-0.095,-0.068,,,,,,,,,-1.42
343,227.3,Bubba Chandler,SP,,,,,,,,,143.0,-0.151,-0.006,-0.208,0.0,0.0,0.168,0.249,-1.6
344,194.0,Trey Yesavage,SP,,,,,,,,,116.5,-0.084,-0.362,-0.401,0.0,0.0,-0.11,0.072,-1.65
345,259.9,Alek Thomas,OF,355.0,-0.098,-0.334,-0.092,0.068,-0.491,0.055,-0.484,,,,,,,,,-1.69
346,249.1,Joe Musgrove,SP,,,,,,,,,123.8,-0.38,-0.267,-0.362,0.0,0.0,-0.079,-0.105,-1.69
347,259.9,Kyle Freeland,SP,,,,,,,,,166.3,-0.359,0.444,-0.092,0.0,0.0,0.505,0.325,-1.71
348,258.7,Reid Detmers,SP,,,,,,,,,132.1,0.077,-0.101,-0.594,0.0,0.0,0.074,0.148,-1.72
349,259.8,Cade Cavalli,SP,,,,,,,,,140.3,-0.37,0.112,-0.44,0.0,0.0,-0.016,0.173,-1.75
350,259.8,Tyler Stephenson,C,330.0,-0.105,-0.095,-0.081,-0.726,0.12,-0.496,-0.09,,,,,,,,,-1.81
351,193.9,Gerrit Cole,SP,,,,,,,,,116.1,-0.345,-0.433,-0.324,0.0,0.0,-0.021,-0.181,-1.84
352,254.4,Shane Bieber,SP,,,,,,,,,118.7,-0.523,-0.314,-0.324,0.0,0.0,-0.11,-0.131,-1.88
353,225.7,Cade Horton,SP,,,,,,,,,137.5,-0.294,-0.149,-0.169,0.0,0.0,0.153,0.173,-1.92
354,260.0,Nick Gonzales,2B,303.0,-0.336,-0.659,-0.333,-0.575,-0.487,0.956,-0.134,,,,,,,,,-1.93
355,258.4,Nick Martinez,SP,,,,,,,,,151.8,-0.375,0.017,-0.131,0.0,0.0,0.31,0.173,-1.99
356,255.2,Kyle Teel,C,288.0,-0.279,-0.399,-0.362,-0.361,0.155,0.055,-0.44,,,,,,,,,-2.0
357,259.4,Reynaldo Lopez,SP,,,,,,,,,120.3,-0.294,-0.386,-0.285,0.0,0.0,0.042,0.021,-2.1
358,259.9,Carlos Santana,1B,348.0,-0.102,-0.171,-0.04,-0.449,0.333,-0.496,-0.79,,,,,,,,,-2.11
359,259.0,Mike Burrows,SP,,,,,,,,,129.5,-0.179,-0.243,-0.362,0.0,0.0,0.132,0.148,-2.17
360,259.8,Ha-Seong Kim,SS,260.0,-0.322,-0.637,-0.464,0.421,-0.016,-0.045,-0.79,,,,,,,,,-2.28
361,257.1,Dillon Dingler,C,326.0,-0.159,-0.204,-0.139,-0.739,-0.373,-0.095,-0.156,,,,,,,,,-2.29
362,259.9,Tim Hill,RP,,,,,,,,,64.8,-0.849,0.0,0.504,-0.67,0.518,0.192,0.434,-2.29
363,260.0,Gabriel Arias,2B/SS,379.0,-0.127,-0.193,-0.048,0.207,-0.299,-0.796,-0.615,,,,,,,,,-2.3
364,259.9,Ben Joyce,RP,,,,,,,,,39.6,-0.415,0.0,-0.902,-0.188,0.276,-0.107,0.002,-2.3
365,259.9,Lenyn Sosa,1B/2B,280.0,-0.436,-0.193,-0.271,-0.663,-0.888,0.305,0.26,,,,,,,,,-2.32
366,260.0,Tyler Alexander,RP,,,,,,,,,68.1,-0.036,0.0,0.621,-0.67,-0.451,0.39,0.218,-2.34
367,259.3,Ryan McMahon,3B,361.0,0.136,0.132,0.077,-0.449,0.604,-1.747,-0.703,,,,,,,,,-2.4
368,259.8,Freddy Fermin,C,336.0,-0.109,-0.399,-0.168,-0.499,-0.312,0.155,-0.637,,,,,,,,,-2.42
369,259.1,Paul Goldschmidt,1B,223.0,-0.546,-0.55,-0.53,-0.575,-0.495,0.505,0.172,,,,,,,,,-2.48
370,260.0,Bryce Eldridge,DH,319.0,-0.223,0.035,-0.099,-0.689,-0.094,-0.796,-0.156,,,,,,,,,-2.48
371,259.8,Dustin May,SP,,,,,,,,,131.2,-0.338,-0.267,-0.362,0.0,0.0,0.137,0.122,-2.5
372,259.9,Garrett Mitchell,OF,246.0,-0.5,-0.474,-0.49,0.156,-0.269,-0.246,-0.265,,,,,,,,,-2.57
373,259.0,Mauricio Dubon,2B/SS/ 3B/OF,331.0,-0.201,-0.691,-0.26,-0.436,-0.644,0.906,-0.768,,,,,,,,,-2.57
374,258.7,Carson Kelly,C,292.0,-0.294,-0.193,-0.238,-0.638,-0.103,-0.496,-0.331,,,,,,,,,-2.82
375,259.9,DL Hall,RP,,,,,,,,,56.7,0.008,0.0,0.035,-0.67,-0.451,0.09,0.218,-2.83
376,259.6,Nick Castellanos,OF,274.0,-0.439,-0.334,-0.318,-0.638,-0.692,0.055,-0.003,,,,,,,,,-2.91
377,259.9,Logan Henderson,SP,,,,,,,,,123.9,-0.331,-0.386,-0.594,0.0,0.0,0.132,0.046,-3.04
378,259.3,Max Scherzer,SP,,,,,,,,,118.0,-0.375,-0.575,-0.478,0.0,0.0,0.19,-0.131,-3.04
379,260.0,Luis Campusano,DH,241.0,-0.439,-0.399,-0.446,-0.764,-0.316,-0.045,-0.068,,,,,,,,,-3.04
380,259.5,Carlos Narvaez,C,303.0,-0.205,-0.269,-0.245,-0.499,0.05,-0.696,-0.615,,,,,,,,,-3.05
381,259.8,Cole Young,2B,286.0,-0.212,-0.713,-0.413,-0.26,0.05,-0.296,-0.746,,,,,,,,,-3.18
382,259.9,Kody Clemens,1B/2B/ OF,242.0,-0.482,-0.247,-0.384,-0.512,-0.604,-0.696,0.303,,,,,,,,,-3.22
383,260.0,Taylor Clarke,RP,,,,,,,,,56.7,-0.415,0.0,0.035,-0.67,-0.451,0.172,-0.079,-3.26
384,260.0,Adbert Alzolay,RP,,,,,,,,,52.8,-0.233,0.0,-0.082,-0.67,-0.572,0.085,-0.025,-3.3
385,260.0,Brusdar Graterol,RP,,,,,,,,,51.5,-0.494,0.0,0.035,-0.67,-0.572,-0.097,0.029,-3.34
386,256.9,Zach McKinstry,SS/3B/ OF,297.0,-0.343,-0.659,-0.42,0.409,-0.155,-0.596,-0.987,,,,,,,,,-3.38
